,Date
0,28MAY24
1,30APR24
2,23APR24
3,16APR24
4,09APR24
5,02APR24
6,26MAR24
7,19MAR24
8,12MAR24
9,05MAR24
10,27FEB24
11,20FEB24
12,13FEB24
13,06FEB24
14,30JAN24
15,23JAN24
16,16JAN24
17,09JAN24
18,02JAN24
19,26DEC23
20,19DEC23
21,12DEC23
22,05DEC23
23,28NOV23
24,21NOV23
25,13NOV23
26,07NOV23
27,31OCT23
28,23OCT23
29,17OCT23
30,10OCT23
31,03OCT23
32,26SEP23
33,18SEP23
34,12SEP23
35,05SEP23
36,29AUG23
37,22AUG23
38,14AUG23
39,08AUG23
40,01AUG23
41,25JUL23
42,18JUL23
43,11JUL23
44,04JUL23
45,27JUN23
46,20JUN23
47,13JUN23
48,06JUN23
49,30MAY23
50,23MAY23
51,16MAY23
52,09MAY23
53,02MAY23
54,25APR23
55,18APR23
56,11APR23
57,03APR23
58,28MAR23
59,21MAR23
60,14MAR23
61,06MAR23
62,28FEB23
63,21FEB23
64,14FEB23
65,07FEB23
66,31JAN23
67,24JAN23
68,17JAN23
69,10JAN23
70,03JAN23
71,27DEC22
72,20DEC22
73,13DEC22
74,06DEC22
75,29NOV22
76,22NOV22
77,15NOV22
78,07NOV22
79,01NOV22
80,25OCT22
81,18OCT22
82,11OCT22
83,04OCT22
84,27SEP22
85,20SEP22
86,13SEP22
87,06SEP22
88,30AUG22
89,23AUG22
90,16AUG22
91,08AUG22
92,02AUG22
93,26JUL22
94,19JUL22
95,12JUL22
96,05JUL22
97,28JUN22
98,21JUN22
99,14JUN22
100,07JUN22
101,31MAY22
102,24MAY22
103,17MAY22
104,10MAY22
105,02MAY22
106,26APR22
107,19APR22
108,12APR22
109,05APR22
110,29MAR22
111,22MAR22
112,15MAR22
113,08MAR22
114,28FEB22
115,22FEB22
116,15FEB22
117,08FEB22
118,01FEB22
119,25JAN22
120,18JAN22
121,11JAN22
122,04JAN22
123,30DEC21
124,28DEC21
125,21DEC21
126,14DEC21
127,09DEC21
128,07DEC21
129,02DEC21
130,30NOV21
131,25NOV21
132,23NOV21
133,18NOV21
134,16NOV21
135,11NOV21
136,09NOV21
137,03NOV21
138,02NOV21
139,28OCT21
140,26OCT21
141,21OCT21
142,19OCT21
143,14OCT21
144,07OCT21
145,30SEP21
146,23SEP21
147,16SEP21
148,09SEP21
149,02SEP21
150,26AUG21
151,18AUG21
152,12AUG21
153,05AUG21
154,29JUL21
155,22JUL21
156,15JUL21
157,08JUL21
158,01JUL21
159,24JUN21
160,17JUN21
161,10JUN21
162,03JUN21
163,27MAY21
164,20MAY21
165,12MAY21
166,06MAY21
167,29APR21
168,22APR21
169,15APR21
170,08APR21
171,01APR21
172,25MAR21
173,18MAR21
174,10MAR21
175,04MAR21
176,25FEB21
177,18FEB21
178,11FEB21
179,04FEB21
180,28JAN21
181,21JAN21
182,14JAN21
